시도명,연번,상담소명,주소,"전화번호
(상담소)",상담소 이메일
부산광역시,18,(사)기장열린상담소 부설성.가정폭력통합상담소,부산시 기장군 차성로 290 동양프라자 405호,051-531-1366,gijang78@naver.com
부산광역시,19,중부산가정폭력상담소,부산시중구 중앙대로 81번길2  ,051-462-7177,jbsgf@hanmail.net
부산광역시,20,(사)부산가정법률상담소 부설 가정폭력관련상담소,"부산시 조방로 49번길 29 705호(범일동, 호림빌딩)",051-469-2987,ps-lawhome@hanmail.net
부산광역시,21,희망의전화 가정폭력상담소,부산시 남구 황령대로 488(대연동),"051-623-1399
051-623-1488",woman1399@hanmail.net
부산광역시,22,(사)여성문화인권센터 부설 가정폭력상담소,부산시 북구 만덕대로 90번길 13 대방상가 3층 305호,051-333-1360,wo10100@hanmail.net
부산광역시,23,사하가정폭력상담소,"부산광역시 사하구 다대로 399-1, 2층(다대동)",051-205-8296,sy8289@hanmail.net 
부산광역시,24,강서가족상담센터,부산광역시 강서구 명지국제8로 245,051-204-8896,han691019@naver.com
대구광역시,25,대구여성통합상담소,대구시 중구 서성로14길 112,(사무실)053-745-4502,lawdaegu@hanmail.net
대구광역시,26,대구여성장애인통합상담소,대구시 달서구 월배로 410,"(사무실)053-637-6057, 6064",tdaws@hanmail.net
대구광역시,27,영남가정폭력상담소,대구광역시 동구 아양로49길 6,(사무실)053-953-2848,family119-org@hanmail.net
인천광역시,28,(사)인천여성단체협의회부설가정·성폭력통합상담소,인천시 미추홀구 경인로 345,"032) 865-1365
010-9061-8180",inwomen1365@hanmail.net
인천광역시,29,서인천가족상담소,인천시 서구 경명대로 676,"032) 564-1366
010-9029-0413",law1369@hanmail.net
인천광역시,30,중구가정폭력상담소,인천시 중구 우현로 39번길2,032)761-7070,slwjc5288@hanmail.net
인천광역시,31,인천가정상담센터부설가정폭력상담소,"인천시 미추홀구 학익소로 29, 508호","032) 865-1120
010-3194-5069",legal-advice@hanmail.net
인천광역시,32,(사)인천내일을여는집 가족상담소,인천시 계양구 계양산로 102번길5 계양구사회복지회관 지하1층,032-543-7179,naeil7179@naver.com
인천광역시,33,인천송도가족상담소,인천시 연수구 샘말로 15-2,032-834-1369,songdo-law@daum.net
광주광역시,34,광주여성인권상담소,광주광역시 서구 내방로 404번길 15,062-363-0487,kjwhl@hanmail.net
광주광역시,35,광주장애인가정상담소,"광주광역시 남구 효덕로 201, 1동 401호 ",062-654-0420,siloam0420@hanmail.net
광주광역시,36,광주YWCA가정상담센터,광주광역시 남구 제중로 46번길  1,062-672-1355,gjywcafc@hanmail.net
광주광역시,37,송광한가족상담센터,"광주광역시 광산구 수등로272, 3층",062-452-1366,sg1366@hanmail.net
대전광역시,38,대전YWCA성폭력·가정폭력상담소,대전광역시 중구 대흥로 128,042)254-3038,ywca3038@hanmail.net
대전광역시,39,대전열린가정폭력상담소,"대전시 동구 충무로 223, 2층(인동)",042-625-5441,openwindows@empas.com
대전광역시,40,대전가톨릭가정폭력상담소,"대전 대덕구 신탄진로 63, 2층(연축동)",042-636-0236,domestic-vcc@hanmail.net
울산광역시,41,울산 남구 통합상담소,울산광역시 남구 문수로 313 삼성빌딩 505호,052-265-5570,usnamgu1366@daum.net
울산광역시,42,동구가정성폭력통합상담소,울산 동구 내진길 18 2층,052-252-6778,13668282@hanmail.net
울산광역시,43,(사)울산여성회부설 북구가정폭력상담소,북구 상방로 141 2층,052-287-1364,bukwoman@hanmail.net 
경기도,44,(사)수원여성의전화 부설 가정폭력성폭력통합상담소,"경기도 수원시 팔달구 중부대로 20, 7층 (구천동, 녹산빌딩)",031-232-7795,suwonhotline@daum.net
경기도,45,(사)성남여성의전화 부설 가정폭력성폭력통합상담소,"경기도 성남시 수정구 수정로 115-1, 5층 5호 (태평동, 주민신협행복빌딩)",031-751-2050,snwhl@naver.com
경기도,46,(사)안양여성의전화 부설 가정폭력성폭력통합상담소,"경기도 안양시 만안구 안양로 149, 501호",031-442-5385, awhl96@hanmail.ne
경기도,47,(사)시흥여성의전화 부설 가정폭력성폭력통합상담소,"경기도 시흥시 마유로 330, 대하빌딩 501~502호",031-496-9390,shwhl@hanmail.net
경기도,48,이천가정.성상담소,"경기도 이천시 영창로 213, 서영빌딩 F층",031-638-7200,2000gss@naver.com
경기도,49,행가래로 의왕가정∙성상담소,경기도 의왕시 전주남이길 23-4,031-459-1311,uw4591311@daum.net
경기도,50,부천가정폭력상담소,"경기도 부천시 성주로 272, 4층",031-663-2313,bucheonlaw@hanmail.net
경기도,51,행복가정폭력상담소,"경기도 부천시 석천로 13, 광명빌딩 4층",032-612-1366,happy79123@hanmail.net
경기도,52,(사)행복터 부설 용인가정상담센터,"경기도 용인시 기흥구 구갈로60번길 3, 골드프라자 801호",031-286-1758,yfccc@naver.com
경기도,53,경기가정폭력상담소,"경기도 안산시 상록구 용신로 164, 부림빌딩 3층",031-419-1366,cpwa1366@hanmail.net
경기도,54,(사)안양YWCA가정폭력상담소,경기도 안양시 동안구 경수대로 604,031-427-1366,ywca2700@hanmail.net
경기도,55,평택가정상담센터,"경기도 평택시 이충로 84-6, 평택평생학습센터 1층",031-611-4251,lawhomep@daum.net
경기도,56,광명여성의전화부설 가정폭력·성폭력통합상담소,"경기도 광명시 도덕공원로 64-1, 3층",02-2060-0245,kmwhl@hanmail.net
경기도,57,(사)김포여성의전화(부) 가정폭력상담소,"경기도 김포시 북변중로68번길 20, 2층",031-986-0136,kpwhl@daum.net
경기도,58,(사)정해복지부설 하남가정폭력상담소,"경기도 하남시 신장로 130-5, 601-1호(덕풍동,계명빌딩)",031-794-4111,hanam4111@hanmail.net
경기도,59,여주가정폭력성폭력상담소,경기도 여주시 세종로 45번길 8,031-885-7651,yjsds09@daum.net
경기도,60,양평사랑 가정폭력상담소,"경기도 양평군 양평읍 시민로 47, 2층",031-775-4983,ypsos@hanmail.net
경기도,61,(사)비움채움 부설 남양주한마음가족상담소,경기도 남양주시 오남읍 진건오남로671번길 24,031-574-7189,damso7189@daum.net
경기도,62,(사)사랑깊은뜰 부설 경기북부가정문제상담소,"경기도 의정부시 장곡로596번길 19, 402호(신곡동, 골드타워)",031-876-7545,jubilee144@hanmail.net
경기도,63,(사)가화부설가족상담센터,"경기도 구리시 아차산로 453, 여성행복센터 4층",031-551-9976,gurilaw@hanmail.net
경기도,64,(사)사랑깊은뜰 부설 양주가정폭력상담소,"경기도 양주시 독바위로 5, 남양상가 306호",031-864-7545,jubilee125@hanmail.net
강원도,65,춘천가정폭력성폭력상담소,강원 춘천시 효자로 135,033-257-4687,chgwsc@daum.net
강원도,66,원주 가정폭력·성폭력 통합상담소,"강원도 원주시 갈머리2길 31,  사회복지센터307호",033-765-1366,hrtwlew@hanmail.net
강원도,67,강릉 가정폭력성폭력상담소,강릉시 강릉대로 454 강릉시평생학습관 2층,033-652-9556,gangneung@lawhome.or.kr
강원도,68,동해가정폭력성폭력상담소,동해시 천곡동 중앙로188 2층 ,033-535-4943,dsc4943@hanmail.net
강원도,69,행복만들기상담소,"횡성군 횡성읍 북천리 3번길 15,  115-62",033-344-1366,sdmk1366@hanmail.net
강원도,70,(사)강릉여성의전화 부설 해솔상담소,강릉시 토성로 162 벽산빌딩 3층,"033-643-1982
033-643-1985",gw1985@hanmail.net
강원도,71,태백가정폭력상담소,태백시 보드미길40,033-554-4005,famlaw375@hanmail.net
강원도,72,속초가정폭력상담소,강원도 속초시 번영로 184 세광빌딩 2층,033-635-3520,sokwomen@hanmail.net
강원도,73,(사)너브내 가족상담센터 부설 홍천가족상담소,강원도 홍천군 홍천읍 남산마을길 1길 8,033-433-1367,counseling333@hanmail.net
강원도,74,철원가정폭력상담소,강원도 철원군 갈말읍 텃골3길 17,033-452-1566,20051222@hanmail.net
충청북도,75,청주YWCA여성종합상담소,청주시 흥덕구 1순환로 536번길4(봉명동),043-268-3007,cjc3007@hanmail.net
충청북도,76,청주가정폭력상담소,"청주시 상당구 상당로158번길 5, 104호 (북문로2가동)",043-257-0088,cjhome0088@hanmail.net
충청북도,77,충주YWCA가정폭력상담소,"충주시 사직산21길 34, 복합복지관 301호",043-846-1388,1388ywca@hanmail.net
충청북도,78,제천 가정폭력상담소,제천시 의림대로6길 32,043-645-5690 / 010-2124-2962,jecheonlaw@hanmail.net
충청북도,79,음성가정(성)폭력상담소,충북 음성군 음성읍 시장로 54,043-873-1330,es1360@hanmail.net
충청남도,80,대천가족성통합상담센터,충남 보령시 대천로 20,041-936-7941,dfcc@hanmail.net
충청남도,81,아산가정성통합상담센터,충남 아산시 배방읍 순천향로 1060,041-546-9191,counsel@flsc.or.kr
충청남도,82,당진가족성통합상담센터,충남 당진시 서부로 67 운암빌딩 2층,041-354-2050,fc21@hanmail.net
충청남도,83,가족성장상담소남성의소리,천안시 동남구 통정8로 5-24,041-572-0115,nsr0115@hanmail.net
충청남도,84,공주시가족상담센터,충남 공주시 제민천3길 22(중학동),041-854-1366,gj1366@hanmail.net
충청남도,85,해뜰가족상담소,아산시 번영로 113-19,041-547-5004,woori6004@hanmail.net
충청남도,86,서산가정성통합센터,충남 서산시 율지8로 60,041-668-8566,sfcc8566@hanmail.net
충청남도,87,논산YWCA 가정폭력상담소,충남 논산시 중앙로 398번길 29-9,041-736-8297,nsyc8297@hanmail.net
전라북도,88,남원YWCA통합상담소,전라북도 남원시 동림로 45," 063-625-1318
시설장 063-632-1305",nmwnywca@hanmail.net
전라북도,89,전주가정상담센터 부설 가정폭력상담소,전주시 완산구 노송광장로 7,063-244-0227,jjdvrc@hanmail.net
전라북도,90,전주여성의전화부설 가정폭력상담소,전주시 완산구 매곡로 27,063-287-7325,counsel@jjhotline.or.kr
전라북도,91,(사)군산여성의전화 부설가정폭력상담소,전북 군산시 구영 7길 8,"063-445-2285
010-5759-4577",zayu9937@hanmail.net
전라북도,92,한국가정법률상담소 군산지부부설 가정폭력상담소,전북 군산시 대학로 36-1,"063-442-1560
010-9820-3525",kunsan04@hanmail.net
전라북도,93,익산가정상담센터부설 가정폭력상담소,전북 익산시 인북로 168 2층,063-851-5113,iksanfc@hanmail.net
전라북도,94,익산여성의전화부설 가정폭력상담소,전북 익산시 익산대로 172-1,063-858-9191,iswhl@hanmail.net
전라북도,95,정읍가정상담센터 부설 가정폭력상담소,정읍시 충정로 348,063-535-8223,jungeuplaw@lnaver.com
전라남도,96,사단법인행복누리부설목포여성상담센터,"목포시 신흥로83번길 5, 2층",061-283-4552,mwomen99@hanmail.net
전라남도,97,여수여성상담센터,여수시 동문로 120,061-654-5211,peace5211@hanmail.net
전라남도,98,순천여성상담센터,순천시 호남길 3,061-753-9900,schome38@hanmail.net
전라남도,99,광양여성상담센터,광양시 광양읍 성북길 39,061-761-1254,ywca1254@hanmail.net
전라남도,100,고흥나누리상담센터,"고흥군 고흥읍 봉동주공길 9, 2층",061-832-1360,nanuri1366@hanmail.net
전라남도,101,영암행복한가정상담소,영암군 삼호읍 녹색로 1113  세한대 정보관 8109호,061-461-1366,happy4611366@hanmail.net
전라남도,102,무안열린가정상담센터,무안군 무안읍 무안로 507 월암빌딩 5층,061-454-1365,ophome7@hanmail.net
전라남도,103,영광여성상담센터,영광군 영광읍 중앙로 230-1,061-352-1321,yksos1@hanmail.net
경상북도,104,(사)포항여성회 부설 경북여성통합상담소,경북 포항시 남구 송림로10번길 6-2,054-284-0404,phwomen@hanmail.net
경상북도,105,칠곡종합상담센터,경북 칠곡군 왜관읍 석전로 69-35,054-973-8290,"han-8290@hanmail.net"
경상북도,106,포항YWCA가정폭력상담소,경북 포항시 남구 포스코대로358 일선빌딩 6층,054-277-5418~9,happyhome541@hanmail.net
경상북도,107,(사)포항생명의전화 부설 가정폭력상담소,경북 포항시 북구 중앙로419번길 21 대동우방타운상가2층 120동201호 ,054-242-0015,"ph91line@hanmail.net"
경상북도,108,로뎀나무가정문제상담소,경북 포항시 북구 흥해읍 동해대로 1562 흥해종합상가 A동 2층,054-262-3554,"lodemcc@hanmail.net"
경상북도,109,안동가정법률상담소 부설 가정폭력관련상담소,경북 안동시 영가로 12-1(3층),054-856-4200,love06260@hanmail.net
경상북도,110,영주소백가정상담센터,경북 영주시 구성로 215(1층),054-635-1585,sob1366@hanmail.net
경상북도,111,상주가정문제상담소,경북 상주시 함창읍 함창중앙로 156,054-541-6116,sangdam8119@hanmail.net
경상북도,112,경산가정폭력상담소,"경북 경산시 중앙초등길 3, 4층",053-814-9191,"a8149191@hanmail.net"
경상남도,113,진해가정상담센터,창원시 진해구 태평로 50,055-551-2332,home2332@hanmail.net
경상남도,114,마산가정상담센터,창원시 마산회원구  양덕옛3길5,055-296-9126,magapok@hanmail.net
경상남도,115,한국가정법률상담소 창원마산지부 부설 창원가정상담센터,창원시 성산구 창이대로663번길7 대한빌딩 401호,055-261-0280,chlawhome@hanmail.net
경상남도,116,진주가정폭력상담소,경상남도 진주시 진양호로 360,055-746-7988,legalf@chol.com
경상남도,117,사천YWCA가정폭력·성폭력통합상담소,"사천시 사천읍 수양로 126, 3층",055-834-1253,fccywca@hanmail.net
경상남도,118,(사)김해여성회부설가정폭력상담소,경남 김해시 가야의길 92-25 2층,055-326-6253,khwomen1366@hanmail.net
경상남도,119,(사)장유하늘가족상담센터,경남 김해시 계동로 233 마루애빌딩 503호,055-326-8291,skyhome33@hanmail.net
경상남도,120,(사)거제가정상담센터,거제시 거제중앙로 13길 22,055-633-7638,geoje6337638@naver.com
경상남도,121,통영시가정폭력상담소,통영시 안개4길 94,055-640-7795,tygapok7795@hanmail.net
경상남도,122,양산가족상담센터,경남 양산시 서일동 2길 8. 2층,"055-362-1366
055-366-4001",ys1366@hanmail.net
경상남도,123,양산가정폭력상담소,양산시 명동 6길 19(명동),055-366-6661,yangsan6661@hanmail.net
경상남도,124,고성가족상담소,경상남도 고성군 고성읍 중앙로 87-1 무지개아파트 상가 2층,055-673-2911,gs-2911@hanmail.net
경상남도,125,보물섬가정행복상담소,"경남 남해군 남해읍 화전로 16-9, 재향군인회관 3층",055-864-1366,namhae1366@hanmail.net
제주특별자치도,126,제주여성장애인상담소,제주시 복지로3길 1-4 4층,064-753-4980,jwdc0326@hanmail.net
제주특별자치도,127,제주가족사랑상담소,제주시 중앙로 195. 2층,064-726-3277,skyfocer@hanmail.net
제주특별자치도,128,서귀포가정행복상담소,"서귀포시 중앙로42번길 46,5층",064-732-3279,sfc3279@hanmail.net
